,eICU,ELSA,HRS,MIDUS,MIMIC,NHANES,NOAA,OpenAQ,UKB Biobank,Total
Autoencoder,1.9011406844106464,1.7142857142857144,0.0,0.0,2.413793103448276,0.0,0.0,8.571428571428571,6.199460916442049,2.9016277423920736
CNN,5.7034220532319395,2.2857142857142856,0.0,0.0,13.793103448275861,0.0,10.344827586206897,22.857142857142858,24.528301886792452,11.394196744515215
DNN,22.813688212927758,5.714285714285714,0.0,1.1904761904761905,33.10344827586207,3.1578947368421053,13.793103448275861,54.285714285714285,48.78706199460917,26.46850672328379
GRU,2.6615969581749046,1.1428571428571428,0.0,0.0,4.137931034482759,0.0,0.0,8.571428571428571,0.5390835579514826,1.840056617126681
Graph neural network,3.041825095057034,0.0,0.0,0.0,1.7241379310344827,0.0,0.0,11.428571428571429,4.31266846361186,2.335456475583864
LSTM,9.125475285171103,1.1428571428571428,0.0,0.0,14.827586206896552,0.0,0.0,31.428571428571427,1.8867924528301887,6.1571125265392785
MLP,6.083650190114068,2.2857142857142856,0.0,1.1904761904761905,7.931034482758621,1.0526315789473684,0.0,5.714285714285714,3.234501347708895,4.175513092710545
RNN,6.844106463878327,1.7142857142857144,0.0,0.0,16.896551724137932,0.0,0.0,5.714285714285714,2.15633423180593,5.661712668082094
TCN,0.7604562737642585,0.0,0.0,0.0,2.413793103448276,0.0,0.0,2.857142857142857,0.5390835579514826,0.8492569002123143
Transformer,14.82889733840304,16.0,14.084507042253522,19.047619047619047,18.96551724137931,13.684210526315791,27.586206896551722,20.0,24.797843665768195,18.966737438075018
AdaBoost,4.562737642585551,1.1428571428571428,0.0,0.0,7.241379310344828,0.0,0.0,2.857142857142857,1.078167115902965,2.830856334041047
CatBoost,5.323193916349809,1.7142857142857144,0.0,0.0,3.793103448275862,1.0526315789473684,0.0,0.0,0.5390835579514826,2.1939136588818116
Extra Trees,0.7604562737642585,0.0,0.0,0.0,0.3448275862068966,0.0,0.0,5.714285714285714,0.2695417789757413,0.42462845010615713
Gradient Boosting,25.475285171102662,1.7142857142857144,0.0,0.0,30.0,1.0526315789473684,0.0,22.857142857142858,3.7735849056603774,12.738853503184714
LightGBM,8.365019011406844,1.7142857142857144,0.0,0.0,6.896551724137931,0.0,0.0,11.428571428571429,1.078167115902965,3.750884642604388
Random Forest,28.13688212927757,10.857142857142858,7.042253521126761,3.571428571428571,43.103448275862064,7.368421052631578,3.4482758620689653,42.857142857142854,12.398921832884097,20.877565463552724
XGBoost,32.69961977186312,1.7142857142857144,1.4084507042253522,2.380952380952381,31.379310344827587,1.0526315789473684,0.0,25.71428571428571,4.31266846361186,14.791224345364473
Elastic Net,1.520912547528517,1.7142857142857144,1.4084507042253522,1.1904761904761905,1.3793103448275863,1.0526315789473684,0.0,0.0,3.234501347708895,1.840056617126681
LASSO,14.44866920152091,1.1428571428571428,4.225352112676056,2.380952380952381,15.517241379310345,2.1052631578947367,0.0,2.857142857142857,5.660377358490567,8.067940552016985
Linear Regression,9.125475285171103,17.142857142857142,18.30985915492958,36.904761904761905,6.551724137931035,25.263157894736842,31.03448275862069,37.142857142857146,25.60646900269542,18.259023354564754
Logistic Regression,49.80988593155893,61.142857142857146,46.478873239436616,35.714285714285715,53.79310344827586,61.05263157894737,6.896551724137931,2.857142857142857,24.528301886792452,43.09978768577495
Ridge Regression,0.7604562737642585,0.5714285714285714,0.0,0.0,1.3793103448275863,1.0526315789473684,0.0,2.857142857142857,2.964959568733154,1.4154281670205235
Support Vector Machine,14.44866920152091,4.0,5.633802816901409,0.0,26.20689655172414,2.1052631578947367,0.0,5.714285714285714,7.008086253369273,10.969568294409058
k-Nearest Neighbors,7.984790874524715,1.7142857142857144,2.8169014084507045,0.0,16.896551724137932,0.0,0.0,8.571428571428571,2.15633423180593,6.086341118188252
Cox Proportional Hazards,22.813688212927758,21.714285714285715,22.535211267605636,15.476190476190476,14.13793103448276,18.947368421052634,0.0,0.0,15.363881401617252,17.197452229299362
Joint Model,0.38022813688212925,1.7142857142857144,1.4084507042253522,0.0,0.3448275862068966,0.0,0.0,0.0,0.8086253369272237,0.6369426751592357
Kaplan–Meier,18.631178707224336,5.714285714285714,4.225352112676056,1.1904761904761905,12.413793103448276,3.1578947368421053,0.0,0.0,2.964959568733154,7.9971691436659595
Random Survival Forest,2.6615969581749046,0.5714285714285714,0.0,0.0,1.0344827586206897,0.0,0.0,0.0,0.2695417789757413,0.8492569002123143
ARIMA,0.38022813688212925,0.0,0.0,0.0,0.3448275862068966,0.0,0.0,2.857142857142857,0.0,0.21231422505307856
Bayesian Regression,0.7604562737642585,0.5714285714285714,0.0,0.0,1.0344827586206897,2.1052631578947367,0.0,2.857142857142857,4.8517520215633425,1.910828025477707
Generalized Estimating Equations,0.0,1.7142857142857144,4.225352112676056,2.380952380952381,0.0,1.0526315789473684,0.0,2.857142857142857,1.078167115902965,0.9907997169143666
Hidden Markov Model,0.38022813688212925,0.5714285714285714,2.8169014084507045,0.0,0.3448275862068966,0.0,0.0,0.0,1.6172506738544474,0.778485491861288
Kalman Filter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.571428571428571,0.0,0.21231422505307856
Markov Model,0.7604562737642585,1.1428571428571428,2.8169014084507045,0.0,0.3448275862068966,0.0,0.0,0.0,1.6172506738544474,0.9200283085633405
Mixed-Effects Model,1.9011406844106464,5.714285714285714,4.225352112676056,3.571428571428571,0.3448275862068966,0.0,0.0,5.714285714285714,8.89487870619946,4.033970276008493
Naive Bayes,5.7034220532319395,0.0,0.0,0.0,6.206896551724138,0.0,0.0,2.857142857142857,0.5390835579514826,2.547770700636943
Ensemble,16.34980988593156,6.2857142857142865,1.4084507042253522,0.0,18.275862068965516,2.1052631578947367,27.586206896551722,37.142857142857146,10.781671159029651,12.101910828025478
Decision Tree,14.068441064638785,5.714285714285714,0.0,0.0,22.413793103448278,2.1052631578947367,3.4482758620689653,14.285714285714285,3.7735849056603774,9.483368719037509
Federated Learning,5.323193916349809,0.5714285714285714,0.0,0.0,1.7241379310344827,0.0,0.0,2.857142857142857,1.3477088948787064,1.840056617126681
Reinforcement Learning,3.041825095057034,0.5714285714285714,0.0,0.0,3.103448275862069,0.0,0.0,0.0,1.078167115902965,1.556970983722576
Papers (N),263.0,175.0,71.0,84.0,290.0,95.0,29.0,35.0,371.0,1413.0
